Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Äggröra,2014 2015 NKMT beräknade livsmedel,2197,Gallus gallus domesticus L.,Äggrätter (A0792),Höna (B1713),Helt ägg utan skal (C0225),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Ägg konventionellt kokt,2014 2015 NKMT beräknade livsmedel,2205,Gallus gallus domesticus L.,Ägg (A0791),Höna (B1713),Helt ägg (C0274),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),()
Aloe Vera Juice Syreberikad Hela Pharma AB,2007 Såser och Aloe Vera,2210,Aloe barbadensis Mill.,Kosttillskott och hälsopreparat (A0870),Aloe Vera (B2348),Blad (C0200),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Flaska (M0214); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Aloe Vera Juice Sasco,2007 Såser och Aloe Vera,2214,Aloe barbadensis Mill.,Kosttillskott och hälsopreparat (A0870),Aloe Vera (B2348),Blad (C0200),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Flaska (M0214); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Aloe Vera Juice med grönt te Naturapoteket,2007 Såser och Aloe Vera,2216,Aloe barbadensis Mill.,Kosttillskott och hälsopreparat (A0870),Aloe Vera (B2348),Blad (C0200),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Burk (M0215); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Aloe Berry nectar Forever Living Products,2007 Såser och Aloe Vera,2217,Aloe barbadensis Mill.,Kosttillskott och hälsopreparat (A0870),Aloe Vera (B2348),Blad (C0200),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Sorbitol (H0303),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Burk (M0215); Plast (M0172),Plast (N0036),Människoföda (P0026),USA (R0413),
Aloe Vera naturell Forever Living Products,2007 Såser och Aloe Vera,2218,Aloe barbadensis Mill.,Kosttillskott och hälsopreparat (A0870),Aloe Vera (B2348),Blad (C0200),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Berikad (H0194); Sorbitol (H0303),Konserverad genom att tillföra kemikalie (J0100),Utan förpackningsmedium (K0003),Burk (M0215); Plast (M0172),Plast (N0036),Människoföda (P0026),USA (R0413),
Toscaglasyr,2014 2015 NKMT beräknade livsmedel,2219,Amygdalus communis L.,Konfekt och annan sockerprodukt dvs ej choklad (A0838),Sockerbeta (B1370),Rot (C0306),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Pasta glutenfri okokt,2007 Såser och Aloe Vera,2220,Zea mays L.,Pasta (A0815),Majs (B1580),Stärkelse (C0203),"Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ris tillfört (H0321); Soja tillfört (H0338); Spannmål tillförd (H0152),Torkad (J0116),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Papper (N0039),Människoföda (P0026),Sverige (R0376),
Fusilli / lasagneplattor glutenfri okokt,2007 Såser och Aloe Vera,2221,Zea mays L.,Pasta (A0815),Majs (B1580),Stärkelse (C0203),"Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Ris tillfört (H0321); Soja tillfört (H0338),Torkad (J0116),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Papper (N0039),Människoföda (P0026),Sverige (R0376),
Pepparkakor glutenfria,2007 Såser och Aloe Vera,2222,Poaceae spp.,"Bageriprodukter, söta och/eller feta (A0821)",Spannmål (B1324),Frö eller kärna (C0155),"Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Bakpulver tillfört (H0351); Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Majs tillfört (H0320); Modifierad stärkelse tillfört (H0279); Ris tillfört (H0321); Saltad (H0173); Socker eller sirap tillfört (H0136),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Papper (N0039),Människoföda (P0026),Sverige (R0376),
Digestivekex fullkorn glutenfria,2007 Såser och Aloe Vera,2223,Triticum aestivum L.,"Bageriprodukter, söta och/eller feta (A0821)",Vete (B1312),Stärkelse (C0203),"Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),"Bakpulver tillfört (H0351); Majs tillfört (H0320); Margarin tillfört (H0272); Mjölk eller mjölkprodukt tillförd (H0297); Saltad (H0173); Smaksatt, kryddor (H0229); Socker eller sirap tillfört (H0136)",Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Plast (N0036),Människoföda (P0026),Sverige (R0376),
Chokladkakor glutenfria,2007 Såser och Aloe Vera,2224,Oryza sativa L.,"Bageriprodukter, söta och/eller feta (A0821)",Ris (B1322),"Mjöl, grodd och kli borttaget (Endosperm) (C0208)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),"Bakpulver tillfört (H0351); Choklad eller kakao tillförd (H0231); Färg tillförd (H0150); Majs tillfört (H0320); Margarin tillfört (H0272); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Smaksatt, kryddor (H0229); Socker eller sirap tillfört (H0136",Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Plast (N0036),Människoföda (P0026),Sverige (R0376),
"Glutenfritt hårt bröd fibrer ca 7,5% typ Grovknäcke",2007 Såser och Aloe Vera,2225,Oryza sativa L.,Mjukt och hårt bröd (A0818),Ris (B1322),"Mjöl, grodd och kli borttaget (Endosperm) (C0208)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Bakpulver tillfört (H0351); Jäst tillfört (H0753); Majs tillfört (H0320); Margarin tillfört (H0272); Mineral tillförd (H0159); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Socker eller sirap tillfört (H0136); Stärkelse tillfört (H0156); Vitamin,Torkad (J0116),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Papper (N0039),Människoföda (P0026),Sverige (R0376),
Tagliatelle äggpasta glutenfritt okokt,2007 Såser och Aloe Vera,2226,Zea mays L.,Pasta (A0815),Majs (B1580),Stärkelse (C0203),"Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ris tillfört (H0321); Ägg tillförd (H0186),Torkad (J0116),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Italien (R0263),
Pasta 100 % majs glutenfri okokt,2007 Såser och Aloe Vera,2227,Zea mays L.,Pasta (A0815),Majs (B1580),"Mjöl, grodd och kli borttaget (Endosperm) (C0208)","Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Torkad (J0116),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Italien (R0263),
Bearnaisesås fett 8% Kelda,2007 Såser och Aloe Vera,2228,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Fett tillfört (H0221); Färg tillförd (H0150); Homogeniserad eller emulsifierad (H0306); Kryddor eller örter tillsatt (H0151); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Socker eller sirap tillfört (H0136); Syrad (H0200); Vatten tillfört (H0148,Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Plast (N0036),Människoföda (P0026),Danmark (R0204),
Klassisk gräddsås fett 6% Kelda,2007 Såser och Aloe Vera,2229,Bos taurus,Sås (A0862),Ko (B1201),Fet grädde - mjölkfett 36%> (C0161),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Animaliskt fett eller olja tillfört (H0262); Frukt juice tillfört (H0362); Färg tillförd (H0150); Kryddor eller örter tillsatt (H0151); Mjölk tillförd (H0184); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Socker eller sirap tillfört (H0136); Soj,Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Plast (N0036),Människoföda (P0026),Danmark (R0204),
Ostsås fett 8% Kelda,2007 Såser och Aloe Vera,2230,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grädde tillfört (H0296); Kryddor eller örter tillsatt (H0151); Modifierad stärkelse tillfört (H0279); Ost tillförd (H0143); Saltad (H0173),Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Plast (N0036),Människoföda (P0026),Danmark (R0204),
Bearnaise sås typ Spisa Rydbergs,2007 Såser och Aloe Vera,2231,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Färg tillförd (H0150); Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Mjölk eller mjölkprodukt tillförd (H0297); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
"Rödvin sås fett 1,5% Spisa Rydbergs",2007 Såser och Aloe Vera,2232,Vitis vinifera L. ssp.,Sås (A0862),Vindruva (B1329),"Frukt eller bär, skal borttaget (C0138)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Delvis värmebehandlad (F0018),Tillagningsmetod okänd (G0001),Färg tillförd (H0150); Grädde tillfört (H0296); Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Modifierad stärkelse tillfört (H0279); Syrad (H0200); Vegetabiliskt fett eller olja tillfört (H0263),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Kebabasås vit fett 30% Rydbergs,2007 Såser och Aloe Vera,2233,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Majs tillfört (H0320); Modifierad stärkelse tillfört (H0279); Saltad (H0173); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263); Äggula tillförd (H0185),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Flaska (M0214); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),
"Svamp sås fett 8,5% Spisa Rydbergs",2007 Såser och Aloe Vera,2234,Bos taurus,Sås (A0862),Ko (B1201),Grädde el gräddkomponent (C0123),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Delvis värmebehandlad (F0018),Tillagningsmetod okänd (G0001),Färg tillförd (H0150); Grädde tillfört (H0296); Grönsak tillförd (H0212); Homogeniserad eller emulsifierad (H0306); Mjölk tillförd (H0184); Ost tillförd (H0143); Saltad (H0173); Svamp tillförd (H0166); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Café de Paris sås fett 39% Spisa Rydbergs,2007 Såser och Aloe Vera,2235,Bos taurus,Sås (A0862),Olje producerande planta (B1017),Fett eller olja (C0190),"Vätska, hög viskositet, med små partiklar (Dressing) (E0121)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),"Färg tillförd (H0150); Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Mjölk eller mjölkprodukt tillförd (H0297); Smaksatt, kryddor (H0229); Socker eller sirap tillfört (H0136); Vatten tillfört (H0148)",Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Varmkorv fett 7% Må gott,2007 Såser och Aloe Vera,2236,Sus scrofa,Korv eller liknande produkt (A0798),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Prinskorv fett 8% Må gott,2007 Såser och Aloe Vera,2237,Sus scrofa,Korv eller liknande produkt (A0798),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Ingen industriell process tillämpad (H0003); Kryddor eller örter tillsatt (H0151); Rökt eller rök smaksatt (H0172); Saltad (H0173); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),Typ av korvskinn (Z0092)
Chorizo fett 9% Må gott,2007 Såser och Aloe Vera,2238,Sus scrofa,Korv eller liknande produkt (A0798),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),Typ av korvskinn (Z0092)
Lättkorv fett 7% Må gott,2007 Såser och Aloe Vera,2239,Sus scrofa,Korv eller liknande produkt (A0798),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Plast (M0172); Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),Typ av korvskinn (Z0092)
Salami fett 9% Må gott,2007 Såser och Aloe Vera,2240,Sus scrofa,Korv eller liknande produkt (A0798),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Gelatin tillfört (H0165); Ingen industriell process tillämpad (H0003); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vegetabiliskt fett eller olja tillfört (H0263),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Typ av korvskinn (Z0092)
Kokt medwurst fett 7% Må gott,2007 Såser och Aloe Vera,2241,Sus scrofa,Korv eller liknande produkt (A0798),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Kokt (G0014),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Plast (M0172)",Plast (N0036),Människoföda (P0026),Sverige (R0376),Typ av korvskinn (Z0092)
"Fruktyoghurt lättsockrad fett 0,2%",2007 Såser och Aloe Vera,2242,Bos taurus,Fil och yoghurt (A0783),Ko (B1201),Mjölk (C0235),"Flytande, hög viskositet (trögflytande) (E0102)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Frukt tillfört (H0147); Homogeniserad eller emulsifierad (H0306); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Pektin tillfört (H0145); Syrad (H0200)",Konserverad genom fermentering (J0104); Kyld (J0131),Utan förpackningsmedium (K0003),Flaska (M0214); Papper (M0159),Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett <1% (Z0181)
"Fruktyoghurt lättsockrad laktosreducerad fett 0,1%",2007 Såser och Aloe Vera,2243,Bos taurus,Fil och yoghurt (A0783),Ko (B1201),Mjölk (C0235),"Flytande, hög viskositet (trögflytande) (E0102)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),"Frukt tillfört (H0147); Homogeniserad eller emulsifierad (H0306); Mjölksyra, andra kulturer fermenterad (H0107); Modifierad stärkelse tillfört (H0279); Socker eller sirap tillfört (H0136); Vitamin D tillförd (H0214)",Konserverad genom att tillföra kemikalie (J0100); Konserverad genom fermentering (J0104); Kyld (J0131); Pastöriserad (J0135),Utan förpackningsmedium (K0003),Flaska (M0214); Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),Fett <1% (Z0181)
Frukostflingor fullkorn sockrad frön & russin 40%,2007 Såser och Aloe Vera,2244,Avena sativa L.,Frukostflingor (A0816),Havre (B1219),"Fullkorn, hela frön, gryn, bönor (C0133)",Hel och i delar (E0104),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Frukt tillfört (H0147); Havre tillfört (H0322); Korn tillfört (H0323); Nöt eller frö tillfört (H0177); Ris tillfört (H0321); Råg tillfört (H0337); Socker eller sirap tillfört (H0136); Vete tillfört (H0319),Torkad (J0116),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213); Papper (M0159)",Papper (N0039),Människoföda (P0026),Sverige (R0376),
