Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Fruktsocker,1898,372.6,1558.9,91.7,0,0,0,8.3,0,0,91.7,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0.1,0.3,0,1,0,0,0,0,1989,Angiospermae,"Socker, honung eller sirap (A0836)",Fruktproducerande planta (B1140),Fruktos (C0223),Kristall (E0143),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Vatten borttaget (H0138),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Fruktsocker,fruktsocker
Sorbitol m sackarin,1899,406.3,1700,100,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1993,Angiospermae,Socker och söta livsmedel (A0835),Kemisk produkt som livsmedel (B1041),Del av växt eller djur inte känt (C0001),"Fysisk form, inte känd (E0001)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Sorbitol,"sorbitol, sorbitol med sackarin"
"Svagdricka  vol. % 2,3",1900,28.7,120.2,3.8,0,0.2,0,94,1.8,0.2,0.5,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.02,0,0.3,0.33,0.03,0,0,15,NULL,0,6,16,8,3,0.01,0,0,0,1989,Poaceae spp.,Öl eller maltdryck (A0847),Spannmål (B1324),"Fullkorn, hela frön, gryn, bönor (C0133)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkohol fermenterad (H0232); Kolsyra tillförd genom fermentation (H0246); Lagrad (H0253); Smaksatt, krydda eller ört tillsatt (H0227); Socker eller sirap tillfört (H0136); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol 1-3% (Z0168),,Svagdricka,"svagdricka, svagdricka 2.3%"
"Öl lättöl vol. % 2,3",1901,28.7,120.2,3.8,0,0.2,0,94,1.8,0.2,0.5,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.02,0,0.3,0.33,0.03,0,0,15,1,0,6,23,8,3,0.01,0,0,0,1989,Poaceae spp.,Öl eller maltdryck (A0847),Spannmål (B1324),"Fullkorn, hela frön, gryn, bönor (C0133)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkohol fermenterad (H0232); Kolsyra tillförd genom fermentation (H0246); Lagrad (H0253); Smaksatt, krydda eller ört tillsatt (H0227); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Konserverad genom filtrering (J0121),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol 1-3% (Z0168),,Lättöl,"lättöl, lättöl 2.3%"
"Öl pilsner vol. % 3,5",1902,39.7,166.2,4.6,0,0.4,0,92,2.8,0.2,0.3,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.02,0,0.3,0.37,0.03,0,0,22,1,0,4,26,10,3,0.01,0,0,0,1989,Poaceae spp.,Öl eller maltdryck (A0847),Spannmål (B1324),"Fullkorn, hela frön, gryn, bönor (C0133)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkohol fermenterad (H0232); Kolsyra tillförd genom fermentation (H0246); Lagrad (H0253); Smaksatt, krydda eller ört tillsatt (H0227); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Konserverad genom filtrering (J0121),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol 3.1-5% (),,Öl 3.5%,"öl 3.5%, pilsner, öl"
Cider vol. % 1,1903,46.6,194.9,10.1,0,0,0,89,0.8,0.1,7.3,2.8,2.8,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,5,NULL,0.2,9,17,3,7,0.02,0,0.3,0,1989,Malus domestica,Cider och liknande drycker (A0848),Äpple (B1245),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol 1-3% (Z0168),,Cider 1%,cider 1%
Vitt vin  vol. % 1,1904,16.9,70.8,2.8,0,0,0,96.1,0.8,0.3,2.4,0.4,0.4,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,20,NULL,0.6,44,70,3,3,0.01,0.1,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol delvis borttagen (H0287); Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol 1-3% (Z0168),,Vitt vin 1%,vitt vin 1%
Rödvin rosévin vol. % 1,1905,16.9,70.8,2.8,0,0,0,96.2,0.8,0.2,2.4,0.4,0.4,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,15,NULL,1.1,7,110,12,3,0.01,0.1,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol delvis borttagen (H0287); Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol 1-3% (Z0168),,Rödvin eller rosévin 1%,"rödvin 1%, rosévin 1%"
"Öl starköl el exportöl vol. % 5,6",1906,34.2,143,1,0,0.25,0,94.5,4.2,0.09,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.64,0.7,0,0,10.2,22.9,1.4,0,2.5,49,7.2,2.4,0.01,0,0.01,0,2014 Drycker,Poaceae spp.,Öl eller maltdryck (A0847),Spannmål (B1324),"Fullkorn, hela frön, gryn, bönor (C0133)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkohol fermenterad (H0232); Kolsyra tillförd genom fermentation (H0246); Lagrad (H0253); Smaksatt, krydda eller ört tillsatt (H0227); Vatten tillfört (H0148)",Konserverad genom fermentering (J0104); Konserverad genom filtrering (J0121),Utan förpackningsmedium (K0003),"Kanna, flaska eller burk (M0194)",Aluminium (); Glas (N0040); Läskburkar (N0011),Människoföda (P0026),Sverige (R0376),Alkohol >5% (Z0166),,Starköl,"starköl, starköl 5.6%, exportöl, exportöl 5.6%, öl 5.6%"
Rödvin vol. % 12,1907,48.7,203.6,0.7,0,0,0,92.5,6.61,0.2,0.66,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.2,0,0,3.5,22.6,1.2,0.23,7.1,120,12,2.6,0.01,0,0.07,0,2014 Drycker,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),"Flaska (M0214); Glas (M0130); Låda, box, ask (M0213)",Glas (N0040); Papper (N0039),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Rödvin,"rödvin, rödvin 12%"
"Vitt vin halvtorrt el halvsött vol. % 12,5",1908,67.4,282.1,1,0,0,0,89.8,9.14,0.1,0.93,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0,0,3.7,14,1.5,0.15,6.6,68.4,8.2,3.2,0.01,0,0.05,0,2014 Drycker,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),"Flaska (M0214); Glas (M0130); Låda, box, ask (M0213)",Glas (N0040); Papper (N0039),Människoföda (P0026),"Kontinenter, regioner och länder (R0509)",Alkohol >9% (Z0170),,Vitt vin halvtorrt eller halvsött,"vitt vin halvtorrt, vitt vin halvsött, vitt vin 12.5%"
Vitt vin el rhenvin  vol. % 10,1909,70.6,295.4,3.8,0,0.1,0,88,7.9,0.2,2.9,0.9,0.9,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0.1,0.12,0.01,0,0,13,NULL,0.4,44,90,3,3,0.01,0.1,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Vitt vin eller rhenvin,"vitt vin, vitt vin 10%, rhenvin, rhenvin 10%"
"Vitt vin sött vol. % 13,5",1910,98.9,414,5.9,0,0.2,0,82.9,10.7,0.3,5.9,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0.1,0.13,0.01,0,0,27,NULL,1.1,44,110,3,3,0.01,0.1,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Sött vitt vin,"sött vitt vin, vitt vin sött"
Vitt vin torrt vol. % 12,1911,67.5,282.3,0.4,0,0,0,89.8,9.5,0.3,0.2,0.2,0.2,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0.1,0.1,0.02,0,0,22,NULL,0.5,44,65,3.2,4,0.01,0.1,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Torrt vitt vin,"torrt vitt vin, vitt vin torrt"
Vinglögg vol. % 10,1912,124.5,521,17,0,0,0,74.7,8,0.3,0.4,16.6,16.6,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.02,0,0.1,0.1,0.02,0,0,15,NULL,1.1,7,110,12,3,0.01,0,0.1,0,1993,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Kryddor eller örter tillsatt (H0151); Lagrad (H0253); Socker eller sirap tillfört (H0136),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Vinglögg 10%,"vinglögg, vinglögg 10%"
Madeira vol. % 18,1914,129.1,540.3,7.9,0,0,0,77.9,14,0.2,0,7.9,7.9,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0,0,0.01,0,0,16,NULL,0.6,8,75,10,4,0.01,0.1,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Portugal (R0335),Alkohol >9% (Z0170),,Madeira,"madeira, madeira 18%"
Portvin vitt rött vol. % 20,1915,149.5,625.5,9.5,0,0,0,74.3,16,0.2,0,9.5,9.5,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0,0,0.01,0,0,21,NULL,0.8,8,80,10,4,0.01,0,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Portvin,"portvin, portvin 20%, rött portvin, vitt portvin"
Sherry halvtorr vol. % 17,1916,124.7,521.8,3.4,0,0,0,80.3,16,0.3,3.4,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0.1,0.1,0.01,0,0,37,NULL,2.4,8,115,10,6,0.02,0,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Sherry,"sherry, sherry 17%, sherry halvtorr"
Starkvinsglögg vol. % 16,1917,179.3,750.3,22.3,0,0,0,64.6,12.8,0.3,9.3,13,13,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0.01,0,0.1,0.1,0.01,0,0,37,NULL,2.4,8,115,10,6,0.02,0,0,0,1989,Vitis vinifera L. ssp.,Vin och vinliknande drycker (A0849),Vindruva (B1329),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Lagrad (H0253),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Flaska (M0214); Glas (M0130),Glas (N0040),Människoföda (P0026),Sverige (R0376),Alkohol >9% (Z0170),,Starkvinsglögg,"starkvinsglögg, starkvinsglögg 16%, glögg 16%"
Brännvin renat el vodka vol. % 40,1918,221.8,928,0,0,0,0,68,32,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Vitis vinifera L. ssp.,Likör eller sprit (A0850),Alkohol (B3324),Del av växt eller djur inte känt (C0001),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Distillerad (H0270),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Renat brännvin eller vodka 40%,"brännvin, brännvin 40%, renat brännvin, brännvin renat, vodka, vodka 40%"
Likör söt vol. % 24,1919,265.8,1112,33,0,0,0,48,19,0,0,33,33,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0.01,0,0,0,NULL,0,0,0,73,0,0,0,0,0,1989,Vitis vinifera L. ssp.,Likör eller sprit (A0850),Alkohol (B3324),Del av växt eller djur inte känt (C0001),"Vätska, hög viskositet, utan synliga partiklar (olja) (E0139)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Distillerad (H0270); Lagrad (H0253); Socker eller sirap tillfört (H0136),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol >9% (Z0170),,Likör 24% söt,"likör 24% söt, likör söt, söt likör, likör"
Likör Kaptenlöjtnant vol. % 38,1920,321.1,1343.5,27,0,0,0,42.5,30.5,0,10,17,17,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Vitis vinifera L. ssp.,Likör eller sprit (A0850),Alkohol (B3324),Del av växt eller djur inte känt (C0001),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkohol fermenterad (H0232); Distillerad (H0270); Lagrad (H0253); Smaksatt, krydda eller ört tillsatt (H0227)",Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol >9% (Z0170),,Likör Kaptenlöjtnant 38%,"likör kaptenlöjtnant 40%, likör kaptenlöjtnant, kaptenlöjtnant"
Konjak el brandy vol. % 40,1921,225,941.6,0.8,0,0,0,67.1,32,0.1,0.3,0.5,0.5,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Vitis vinifera L. ssp.,Likör eller sprit (A0850),Vindruva (B1329),Del av växt eller djur inte känt (C0001),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Distillerad (H0270); Lagrad (H0253),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Konjak eller brandy 40%,"konjak, konjak 40%, brandy, brandy 40%"
Punsch vol. % 26,1922,244.3,1022,26,0,0,0,54,20,0,11.8,14.2,14.2,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Vitis vinifera L. ssp.,Likör eller sprit (A0850),Socker producerande planta (B1012),Sackaros (C0210),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),"Alkohol fermenterad (H0232); Lagrad (H0253); Smaksatt, krydda eller ört tillsatt (H0227); Vatten tillfört (H0148)",Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol >9% (Z0170),,Punsch 26%,"punsch, punsch 26%"
Rom vol. % 40,1923,223,933.1,0.3,0,0,0,67.7,32,0,0.3,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Saccharum officinarum L.,Likör eller sprit (A0850),Sockerrör (B1378),Melass (C0207),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Distillerad (H0270); Lagrad (H0253),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Rom 40%,"rom, rom 40%"
Kryddat brännvin vol. % 40,1924,226.3,946.7,1.1,0,0,0,66.9,32,0,1.1,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Saccharum officinarum L.,Likör eller sprit (A0850),Alkohol (B3324),Del av växt eller djur inte känt (C0001),"Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Distillerad (H0270),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Alkohol >9% (Z0170),,Kryddat brännvin,"kryddat brännvin, kryddat brännvin 40%"
Gin vol. % 40,1925,221.8,928,0,0,0,0,68,32,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,1989,Hordeum vulgare L. ssp. vulgare convar. vulgare,Likör eller sprit (A0850),Korn (B1230),"Fullkorn, hela frön, gryn, bönor (C0133)","Vätska, låg viskositet, utan synliga partiklar (öl, vatten, mjölk) (E0123)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Alkohol fermenterad (H0232); Distillerad (H0270),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Alkohol >9% (Z0170),,Gin 40%,"gin, gin 40%"
